
Table 1 : anger N =    941 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Full_model    Without_FC    0.799  0.794  0.993  | [-0.0000   0.0044   0.0090]  
Full_model    Without_FC    0.793  0.794  0.993  | [-0.0055  -0.0015   0.0025]  
Full_model    Without_FC    0.797  0.796  0.993  | [-0.0035   0.0012   0.0059]  
Full_model    Without_FC    0.792  0.792  0.993  | [-0.0045  -0.0002   0.0038]  
Full_model    Without_FC    0.795  0.795  0.994  | [-0.0043  -0.0003   0.0036]  
Full_model    Without_FC    0.798  0.799  0.994  | [-0.0046  -0.0009   0.0030]  
Full_model    Without_FC    0.790  0.791  0.993  | [-0.0049  -0.0008   0.0034]  
Full_model    Without_FC    0.795  0.793  0.990  | [-0.0029   0.0024   0.0077]  
Full_model    Without_CNN   0.793  0.767  0.952  | [ 0.0141   0.0256   0.0376]  
Full_model    Without_CNN   0.800  0.773  0.950  | [ 0.0154   0.0267   0.0387]  
Full_model    Without_CNN   0.799  0.773  0.955  | [ 0.0152   0.0259   0.0369]  
Full_model    Without_CNN   0.799  0.775  0.954  | [ 0.0136   0.0236   0.0349]  
Full_model    Without_CNN   0.795  0.773  0.947  | [ 0.0106   0.0219   0.0337]  
Full_model    Without_CNN   0.790  0.769  0.952  | [ 0.0103   0.0211   0.0327]  
Full_model    Without_CNN   0.793  0.768  0.952  | [ 0.0137   0.0249   0.0364]  
Full_model    Without_CNN   0.794  0.770  0.954  | [ 0.0137   0.0242   0.0357]  
Full_model    Without_CNN   0.794  0.771  0.953  | [ 0.0120   0.0228   0.0348]  
Full_model    Without_CNN   0.799  0.773  0.951  | [ 0.0155   0.0263   0.0377]  
Full_model    Without_CNN   0.793  0.767  0.952  | [ 0.0152   0.0263   0.0390]  
Full_model    Without_CNN   0.793  0.773  0.953  | [ 0.0090   0.0201   0.0313]  
Full_model    Without_CNN   0.799  0.769  0.954  | [ 0.0188   0.0293   0.0410]  
Full_model    Without_CNN   0.793  0.770  0.953  | [ 0.0119   0.0228   0.0343]  
Full_model    Without_CNN   0.797  0.773  0.953  | [ 0.0132   0.0238   0.0352]  
Full_model    Without_CNN   0.792  0.770  0.952  | [ 0.0103   0.0220   0.0339]  
Full_model    Without_CNN   0.795  0.773  0.953  | [ 0.0107   0.0218   0.0333]  
Full_model    Without_CNN   0.798  0.778  0.954  | [ 0.0092   0.0196   0.0305]  
Full_model    Without_CNN   0.790  0.772  0.955  | [ 0.0083   0.0186   0.0299]  
Full_model    Without_CNN   0.795  0.774  0.950  | [ 0.0091   0.0210   0.0328]  
Full_model    Without_LE    0.793  0.750  0.918  | [ 0.0267   0.0424   0.0592]  
Full_model    Without_LE    0.800  0.752  0.923  | [ 0.0309   0.0471   0.0651]  
Full_model    Without_LE    0.799  0.752  0.913  | [ 0.0300   0.0461   0.0635]  
Full_model    Without_LE    0.799  0.753  0.916  | [ 0.0295   0.0460   0.0632]  
Full_model    Without_LE    0.795  0.745  0.915  | [ 0.0337   0.0505   0.0679]  
Full_model    Without_LE    0.790  0.744  0.919  | [ 0.0286   0.0458   0.0636]  
Full_model    Without_LE    0.793  0.743  0.919  | [ 0.0336   0.0506   0.0688]  
Full_model    Without_LE    0.794  0.738  0.909  | [ 0.0386   0.0562   0.0765]  
Full_model    Without_LE    0.794  0.745  0.912  | [ 0.0320   0.0490   0.0674]  
Full_model    Without_LE    0.799  0.746  0.916  | [ 0.0366   0.0531   0.0713]  
Full_model    Without_LE    0.793  0.742  0.912  | [ 0.0349   0.0515   0.0695]  
Full_model    Without_LE    0.793  0.744  0.915  | [ 0.0320   0.0491   0.0665]  
Full_model    Without_LE    0.799  0.756  0.920  | [ 0.0260   0.0421   0.0590]  
Full_model    Without_LE    0.793  0.753  0.921  | [ 0.0243   0.0399   0.0565]  
Full_model    Without_LE    0.797  0.747  0.918  | [ 0.0333   0.0502   0.0690]  
Full_model    Without_LE    0.792  0.744  0.917  | [ 0.0314   0.0477   0.0646]  
Full_model    Without_LE    0.795  0.745  0.911  | [ 0.0326   0.0504   0.0691]  
Full_model    Without_LE    0.798  0.754  0.921  | [ 0.0274   0.0435   0.0605]  
Full_model    Without_LE    0.790  0.739  0.911  | [ 0.0339   0.0513   0.0695]  
Full_model    Without_LE    0.795  0.746  0.915  | [ 0.0331   0.0496   0.0691]  
Without_FC    Without_CNN   0.792  0.767  0.952  | [ 0.0142   0.0255   0.0373]  
Without_FC    Without_CNN   0.797  0.773  0.950  | [ 0.0129   0.0242   0.0360]  
Without_FC    Without_CNN   0.796  0.773  0.954  | [ 0.0125   0.0233   0.0340]  
Without_FC    Without_CNN   0.797  0.775  0.954  | [ 0.0117   0.0219   0.0327]  
Without_FC    Without_CNN   0.792  0.773  0.950  | [ 0.0072   0.0192   0.0313]  
Without_FC    Without_CNN   0.787  0.769  0.953  | [ 0.0069   0.0185   0.0301]  
Without_FC    Without_CNN   0.797  0.768  0.953  | [ 0.0176   0.0291   0.0411]  
Without_FC    Without_CNN   0.795  0.770  0.953  | [ 0.0148   0.0254   0.0368]  
Without_FC    Without_CNN   0.793  0.771  0.952  | [ 0.0111   0.0224   0.0345]  
Without_FC    Without_CNN   0.797  0.773  0.951  | [ 0.0140   0.0249   0.0364]  
Without_FC    Without_CNN   0.790  0.767  0.950  | [ 0.0115   0.0234   0.0360]  
Without_FC    Without_CNN   0.794  0.773  0.953  | [ 0.0103   0.0209   0.0322]  
Without_FC    Without_CNN   0.794  0.769  0.953  | [ 0.0141   0.0249   0.0361]  
Without_FC    Without_CNN   0.794  0.770  0.952  | [ 0.0134   0.0243   0.0359]  
Without_FC    Without_CNN   0.796  0.773  0.951  | [ 0.0117   0.0227   0.0345]  
Without_FC    Without_CNN   0.792  0.770  0.955  | [ 0.0115   0.0222   0.0336]  
Without_FC    Without_CNN   0.795  0.773  0.955  | [ 0.0118   0.0221   0.0335]  
Without_FC    Without_CNN   0.799  0.778  0.954  | [ 0.0100   0.0204   0.0315]  
Without_FC    Without_CNN   0.791  0.772  0.957  | [ 0.0090   0.0194   0.0301]  
Without_FC    Without_CNN   0.793  0.774  0.950  | [ 0.0065   0.0186   0.0313]  
Without_FC    Without_LE    0.792  0.750  0.919  | [ 0.0258   0.0423   0.0593]  
Without_FC    Without_LE    0.797  0.752  0.919  | [ 0.0274   0.0445   0.0625]  
Without_FC    Without_LE    0.796  0.752  0.914  | [ 0.0266   0.0436   0.0604]  
Without_FC    Without_LE    0.797  0.753  0.917  | [ 0.0280   0.0443   0.0615]  
Without_FC    Without_LE    0.792  0.745  0.911  | [ 0.0307   0.0477   0.0668]  
Without_FC    Without_LE    0.787  0.744  0.918  | [ 0.0267   0.0431   0.0611]  
Without_FC    Without_LE    0.797  0.743  0.918  | [ 0.0379   0.0548   0.0720]  
Without_FC    Without_LE    0.795  0.738  0.911  | [ 0.0388   0.0574   0.0768]  
Without_FC    Without_LE    0.793  0.745  0.915  | [ 0.0314   0.0485   0.0665]  
Without_FC    Without_LE    0.797  0.746  0.913  | [ 0.0341   0.0516   0.0699]  
Without_FC    Without_LE    0.790  0.742  0.914  | [ 0.0317   0.0486   0.0676]  
Without_FC    Without_LE    0.794  0.744  0.914  | [ 0.0330   0.0498   0.0676]  
Without_FC    Without_LE    0.794  0.756  0.917  | [ 0.0214   0.0377   0.0547]  
Without_FC    Without_LE    0.794  0.753  0.922  | [ 0.0261   0.0414   0.0579]  
Without_FC    Without_LE    0.796  0.747  0.915  | [ 0.0322   0.0490   0.0679]  
Without_FC    Without_LE    0.792  0.744  0.915  | [ 0.0308   0.0479   0.0657]  
Without_FC    Without_LE    0.795  0.745  0.913  | [ 0.0328   0.0507   0.0691]  
Without_FC    Without_LE    0.799  0.754  0.919  | [ 0.0287   0.0444   0.0617]  
Without_FC    Without_LE    0.791  0.739  0.909  | [ 0.0337   0.0520   0.0701]  
Without_FC    Without_LE    0.793  0.746  0.919  | [ 0.0309   0.0473   0.0651]  
Without_CNN   Without_LE    0.767  0.750  0.829  | [-0.0057   0.0168   0.0406]  
Without_CNN   Without_LE    0.773  0.752  0.832  | [-0.0036   0.0203   0.0439]  
Without_CNN   Without_LE    0.773  0.752  0.827  | [-0.0030   0.0203   0.0434]  
Without_CNN   Without_LE    0.775  0.753  0.832  | [-0.0006   0.0223   0.0452]  
Without_CNN   Without_LE    0.773  0.745  0.820  | [ 0.0049   0.0286   0.0534]  
Without_CNN   Without_LE    0.769  0.744  0.829  | [ 0.0006   0.0246   0.0487]  
Without_CNN   Without_LE    0.768  0.743  0.831  | [ 0.0024   0.0256   0.0504]  
Without_CNN   Without_LE    0.770  0.738  0.821  | [ 0.0080   0.0320   0.0576]  
Without_CNN   Without_LE    0.771  0.745  0.826  | [ 0.0025   0.0262   0.0506]  
Without_CNN   Without_LE    0.773  0.746  0.828  | [ 0.0040   0.0267   0.0506]  
Without_CNN   Without_LE    0.767  0.742  0.821  | [ 0.0010   0.0252   0.0504]  
Without_CNN   Without_LE    0.773  0.744  0.827  | [ 0.0067   0.0289   0.0526]  
Without_CNN   Without_LE    0.769  0.756  0.834  | [-0.0092   0.0128   0.0361]  
Without_CNN   Without_LE    0.770  0.753  0.840  | [-0.0053   0.0171   0.0396]  
Without_CNN   Without_LE    0.773  0.747  0.825  | [ 0.0029   0.0263   0.0509]  
Without_CNN   Without_LE    0.770  0.744  0.827  | [ 0.0026   0.0257   0.0500]  
Without_CNN   Without_LE    0.773  0.745  0.827  | [ 0.0050   0.0286   0.0523]  
Without_CNN   Without_LE    0.778  0.754  0.833  | [ 0.0019   0.0239   0.0456]  
Without_CNN   Without_LE    0.772  0.739  0.826  | [ 0.0101   0.0326   0.0563]  
Without_CNN   Without_LE    0.774  0.746  0.830  | [ 0.0048   0.0286   0.0530]  

Table 3 : joy N =    902 Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 | BCaLow    MeanDiff  BCaHigh
Full_model    Without_FC    0.795  0.796  0.994  | [-0.0055  -0.0008   0.0040]  
Full_model    Without_FC    0.799  0.804  0.994  | [-0.0088  -0.0046  -0.0005]  
Full_model    Without_FC    0.802  0.801  0.994  | [-0.0032   0.0014   0.0059]  
Full_model    Without_FC    0.806  0.800  0.993  | [ 0.0006   0.0054   0.0105]  
Full_model    Without_FC    0.803  0.802  0.995  | [-0.0036   0.0007   0.0050]  
Full_model    Without_FC    0.799  0.802  0.995  | [-0.0068  -0.0026   0.0018]  
Full_model    Without_FC    0.800  0.800  0.994  | [-0.0040   0.0002   0.0042]  
Full_model    Without_FC    0.805  0.801  0.994  | [-0.0011   0.0034   0.0080]  
Full_model    Without_FC    0.802  0.802  0.993  | [-0.0038   0.0005   0.0050]  
Full_model    Without_FC    0.797  0.799  0.993  | [-0.0067  -0.0017   0.0029]  
Full_model    Without_FC    0.800  0.802  0.994  | [-0.0070  -0.0024   0.0021]  
Full_model    Without_FC    0.804  0.806  0.994  | [-0.0072  -0.0026   0.0019]  
Full_model    Without_FC    0.800  0.801  0.994  | [-0.0050  -0.0003   0.0046]  
Full_model    Without_FC    0.804  0.804  0.994  | [-0.0041   0.0001   0.0044]  
Full_model    Without_FC    0.803  0.806  0.994  | [-0.0074  -0.0030   0.0012]  
Full_model    Without_FC    0.804  0.805  0.993  | [-0.0055  -0.0011   0.0034]  
Full_model    Without_FC    0.799  0.799  0.994  | [-0.0038   0.0009   0.0056]  
Full_model    Without_FC    0.798  0.803  0.993  | [-0.0100  -0.0049  -0.0006]  
Full_model    Without_FC    0.806  0.803  0.993  | [-0.0021   0.0029   0.0079]  
Full_model    Without_FC    0.805  0.804  0.995  | [-0.0025   0.0013   0.0051]  
Full_model    Without_CNN   0.795  0.789  0.967  | [-0.0036   0.0064   0.0169]  
Full_model    Without_CNN   0.799  0.787  0.964  | [ 0.0018   0.0125   0.0239]  
Full_model    Without_CNN   0.802  0.789  0.968  | [ 0.0031   0.0132   0.0244]  
Full_model    Without_CNN   0.806  0.794  0.964  | [ 0.0007   0.0116   0.0239]  
Full_model    Without_CNN   0.803  0.795  0.968  | [-0.0029   0.0074   0.0176]  
Full_model    Without_CNN   0.799  0.791  0.965  | [-0.0025   0.0082   0.0193]  
Full_model    Without_CNN   0.800  0.791  0.969  | [-0.0012   0.0090   0.0198]  
Full_model    Without_CNN   0.805  0.793  0.965  | [ 0.0017   0.0120   0.0231]  
Full_model    Without_CNN   0.802  0.791  0.963  | [ 0.0004   0.0115   0.0233]  
Full_model    Without_CNN   0.797  0.787  0.964  | [-0.0005   0.0101   0.0220]  
Full_model    Without_CNN   0.800  0.792  0.966  | [-0.0023   0.0081   0.0186]  
Full_model    Without_CNN   0.804  0.792  0.963  | [ 0.0004   0.0116   0.0227]  
Full_model    Without_CNN   0.800  0.791  0.967  | [-0.0014   0.0093   0.0206]  
Full_model    Without_CNN   0.804  0.795  0.967  | [-0.0009   0.0092   0.0192]  
Full_model    Without_CNN   0.803  0.796  0.966  | [-0.0026   0.0073   0.0172]  
Full_model    Without_CNN   0.804  0.795  0.963  | [-0.0025   0.0088   0.0220]  
Full_model    Without_CNN   0.799  0.781  0.962  | [ 0.0072   0.0183   0.0304]  
Full_model    Without_CNN   0.798  0.792  0.962  | [-0.0052   0.0063   0.0177]  
Full_model    Without_CNN   0.806  0.794  0.965  | [ 0.0015   0.0120   0.0232]  
Full_model    Without_CNN   0.805  0.792  0.966  | [ 0.0022   0.0134   0.0251]  
Full_model    Without_LE    0.795  0.704  0.891  | [ 0.0692   0.0912   0.1171]  
Full_model    Without_LE    0.799  0.710  0.887  | [ 0.0662   0.0891   0.1177]  
Full_model    Without_LE    0.802  0.715  0.887  | [ 0.0642   0.0868   0.1140]  
Full_model    Without_LE    0.806  0.712  0.892  | [ 0.0708   0.0936   0.1222]  
Full_model    Without_LE    0.803  0.715  0.899  | [ 0.0668   0.0879   0.1132]  
Full_model    Without_LE    0.799  0.702  0.885  | [ 0.0722   0.0966   0.1275]  
Full_model    Without_LE    0.800  0.713  0.888  | [ 0.0633   0.0870   0.1166]  
Full_model    Without_LE    0.805  0.712  0.888  | [ 0.0703   0.0927   0.1215]  
Full_model    Without_LE    0.802  0.704  0.893  | [ 0.0762   0.0988   0.1289]  
Full_model    Without_LE    0.797  0.691  0.878  | [ 0.0814   0.1066   0.1395]  
Full_model    Without_LE    0.800  0.713  0.891  | [ 0.0645   0.0871   0.1143]  
Full_model    Without_LE    0.804  0.710  0.891  | [ 0.0714   0.0936   0.1204]  
Full_model    Without_LE    0.800  0.710  0.892  | [ 0.0682   0.0904   0.1189]  
Full_model    Without_LE    0.804  0.720  0.894  | [ 0.0620   0.0842   0.1113]  
Full_model    Without_LE    0.803  0.705  0.884  | [ 0.0742   0.0975   0.1265]  
Full_model    Without_LE    0.804  0.711  0.888  | [ 0.0694   0.0927   0.1214]  
Full_model    Without_LE    0.799  0.712  0.895  | [ 0.0661   0.0877   0.1152]  
Full_model    Without_LE    0.798  0.708  0.891  | [ 0.0679   0.0903   0.1177]  
Full_model    Without_LE    0.806  0.715  0.895  | [ 0.0691   0.0908   0.1180]  
Full_model    Without_LE    0.805  0.707  0.890  | [ 0.0750   0.0977   0.1267]  
Without_FC    Without_CNN   0.796  0.789  0.966  | [-0.0034   0.0072   0.0180]  
Without_FC    Without_CNN   0.804  0.787  0.965  | [ 0.0068   0.0171   0.0289]  
