
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.802  0.802  0.993  |  0.0005   0.8262  
Full model    Without FC    0.797  0.799  0.993  | -0.0017   0.4917  
Full model    Without FC    0.800  0.802  0.994  | -0.0024   0.3412  
Full model    Without FC    0.804  0.806  0.994  | -0.0026   0.2816  
Full model    Without FC    0.800  0.801  0.994  | -0.0003   0.8991  
Full model    Without FC    0.804  0.804  0.994  |  0.0001   0.9779  
Full model    Without FC    0.803  0.806  0.994  | -0.0030   0.1747  
Full model    Without FC    0.804  0.805  0.993  | -0.0011   0.6355  
Full model    Without FC    0.799  0.799  0.994  |  0.0009   0.7008  
Full model    Without FC    0.798  0.803  0.993  | -0.0049   0.0403  
Full model    Without FC    0.806  0.803  0.993  |  0.0029   0.2586  
Full model    Without FC    0.805  0.804  0.995  |  0.0013   0.5066  
Full model    Without CNN   0.795  0.789  0.967  |  0.0064   0.2408  
Full model    Without CNN   0.799  0.787  0.964  |  0.0125   0.0320  
Full model    Without CNN   0.802  0.789  0.968  |  0.0132   0.0201  
Full model    Without CNN   0.806  0.794  0.964  |  0.0116   0.0631  
Full model    Without CNN   0.803  0.795  0.968  |  0.0074   0.1683  
Full model    Without CNN   0.799  0.791  0.965  |  0.0082   0.1493  
Full model    Without CNN   0.800  0.791  0.969  |  0.0090   0.1072  
Full model    Without CNN   0.805  0.793  0.965  |  0.0120   0.0347  
Full model    Without CNN   0.802  0.791  0.963  |  0.0115   0.0553  
Full model    Without CNN   0.797  0.787  0.964  |  0.0101   0.0808  
Full model    Without CNN   0.800  0.792  0.966  |  0.0081   0.1484  
Full model    Without CNN   0.804  0.792  0.963  |  0.0116   0.0423  
Full model    Without CNN   0.800  0.791  0.967  |  0.0093   0.1080  
Full model    Without CNN   0.804  0.795  0.967  |  0.0092   0.0796  
Full model    Without CNN   0.803  0.796  0.966  |  0.0073   0.1755  
Full model    Without CNN   0.804  0.795  0.963  |  0.0088   0.1709  
Full model    Without CNN   0.799  0.781  0.962  |  0.0183   0.0032  
Full model    Without CNN   0.798  0.792  0.962  |  0.0063   0.2930  
Full model    Without CNN   0.806  0.794  0.965  |  0.0120   0.0372  
Full model    Without CNN   0.805  0.792  0.966  |  0.0134   0.0277  
Full model    Without LE    0.795  0.704  0.891  |  0.0912   0.0001  
Full model    Without LE    0.799  0.710  0.887  |  0.0891   0.0001  
